result,datatype,encoding,compressor,column,row,start_time/ms,end_time/ms,import_elapsed_time/s,query_elapsed_time/s,data_size/b,compression_rate,tsfile_count
result,BOOLEAN,PLAIN,UNCOMPRESSED,1,10w,1682588586982,1682588596120,2.789,3.577,119399,17.13623,1
result,BOOLEAN,PLAIN,UNCOMPRESSED,1,100w,1682588622242,1682588663313,11.493,26.617,1194387,17.13017,11
result,BOOLEAN,PLAIN,UNCOMPRESSED,1,1000w,1682588689445,1682589032957,86.01,253.12,11945057,17.12843,115
result,BOOLEAN,PLAIN,UNCOMPRESSED,3,10w,1682589059079,1682589072856,3.072,8.021,357649,8.79672,1
result,BOOLEAN,PLAIN,UNCOMPRESSED,3,100w,1682589098964,1682589185883,14.049,69.759,3577133,8.79479,11
result,BOOLEAN,PLAIN,UNCOMPRESSED,3,1000w,1682589211983,1682590000378,113.594,669.328,35772151,8.79455,115
result,BOOLEAN,PLAIN,UNCOMPRESSED,5,10w,1682590026507,1682590045934,3.426,13.166,595900,7.124,1
result,BOOLEAN,PLAIN,UNCOMPRESSED,5,100w,1682590072051,1682590210837,15.958,119.743,5959890,7.12265,11
result,BOOLEAN,PLAIN,UNCOMPRESSED,5,1000w,1682590243040,1682591574189,134.7,1189.713,59599360,7.12256,115
result,BOOLEAN,PLAIN,SNAPPY,1,10w,1682591600318,1682591609247,2.698,3.544,11908,171.82138,1
result,BOOLEAN,PLAIN,SNAPPY,1,100w,1682591635366,1682591672979,11.123,23.653,119905,170.63549,11
result,BOOLEAN,PLAIN,SNAPPY,1,1000w,1682591699090,1682592012855,86.087,223.571,1201214,170.32773,115
result,BOOLEAN,PLAIN,SNAPPY,3,10w,1682592038962,1682592052520,3.202,7.625,34584,90.97088,1
result,BOOLEAN,PLAIN,SNAPPY,3,100w,1682592078616,1682592155449,13.995,60.012,537032,58.58149,11
result,BOOLEAN,PLAIN,SNAPPY,3,1000w,1682592181554,1682592951592,114.106,651.525,6926129,45.42222,115
result,BOOLEAN,PLAIN,SNAPPY,5,10w,1682592977695,1682592995492,3.436,11.602,57240,74.16536,1
result,BOOLEAN,PLAIN,SNAPPY,5,100w,1682593021618,1682593135301,16.0,94.738,765808,55.43194,11
result,BOOLEAN,PLAIN,SNAPPY,5,1000w,1682593161423,1682594334609,136.975,1031.269,9224962,46.01647,115
result,BOOLEAN,PLAIN,LZ4,1,10w,1682594360734,1682594369633,2.944,3.262,7941,257.65558,1
result,BOOLEAN,PLAIN,LZ4,1,100w,1682594395759,1682594432115,11.241,22.201,80244,254.97287,11
result,BOOLEAN,PLAIN,LZ4,1,1000w,1682594458226,1682594762815,87.843,212.686,805326,254.05866,115
result,BOOLEAN,PLAIN,LZ4,3,10w,1682594788936,1682594802263,3.11,7.489,23197,135.62612,1
result,BOOLEAN,PLAIN,LZ4,3,100w,1682594828387,1682594905940,13.793,60.788,229866,136.86286,11
result,BOOLEAN,PLAIN,LZ4,3,1000w,1682594932047,1682595642645,113.606,592.505,2266182,138.82385,115
result,BOOLEAN,PLAIN,LZ4,5,10w,1682595668754,1682595685797,3.39,10.942,38827,109.33616,1
result,BOOLEAN,PLAIN,LZ4,5,100w,1682595711914,1682595818959,15.876,88.233,398883,106.42267,11
result,BOOLEAN,PLAIN,LZ4,5,1000w,1682595845063,1682596844926,135.299,859.382,4050072,104.813,115
result,BOOLEAN,PLAIN,GZIP,1,10w,1682596871048,1682596880058,2.908,3.344,5887,347.55223,1
result,BOOLEAN,PLAIN,GZIP,1,100w,1682596906165,1682596943196,11.413,22.787,59406,344.41033,11
result,BOOLEAN,PLAIN,GZIP,1,1000w,1682596969313,1682597273776,86.204,214.244,595606,343.51575,115
result,BOOLEAN,PLAIN,GZIP,3,10w,1682597299893,1682597313149,3.164,7.4,17064,184.37119,1
result,BOOLEAN,PLAIN,GZIP,3,100w,1682597339275,1682597412900,13.973,56.762,171763,183.15999,11
result,BOOLEAN,PLAIN,GZIP,3,1000w,1682597439005,1682598163865,113.746,606.41,1719907,182.91693,115
result,BOOLEAN,PLAIN,GZIP,5,10w,1682598189981,1682598207241,3.403,11.059,28284,150.09122,1
result,BOOLEAN,PLAIN,GZIP,5,100w,1682598233354,1682598353297,16.219,100.743,284754,149.07668,11
result,BOOLEAN,PLAIN,GZIP,5,1000w,1682598379406,1682599513181,132.897,995.771,2850900,148.90041,115
