Time,root.test.g_0.d_0.s_0,root.test.g_0.d_0.s_1,root.test.g_0.d_0.s_2
1640966401000,true,true,true
1640966402000,true,false,false
1640966403000,false,false,true
1640966404000,true,true,false
1640966405000,false,false,true
1640966406000,true,false,false
1640966407000,false,true,true
1640966408000,false,true,false
1640966409000,false,false,false
1640966410000,false,false,false
1640966411000,false,false,false
1640966412000,false,false,false
1640966413000,false,false,false
1640966414000,false,false,true
1640966415000,false,false,false
1640966416000,false,false,true
1640966417000,false,false,false
1640966418000,true,false,false
1640966419000,false,true,false
1640966420000,false,false,false
1640966421000,false,false,true
1640966422000,true,true,false
1640966423000,true,true,true
1640966424000,true,true,false
1640966425000,false,true,true
1640966426000,true,true,true
1640966427000,true,false,true
1640966428000,true,false,false
1640966429000,false,true,false
1640966430000,true,true,true
1640966431000,true,true,true
1640966432000,false,false,true
1640966433000,true,false,false
1640966434000,true,true,false
1640966435000,true,true,false
1640966436000,true,true,true
1640966437000,false,false,false
1640966438000,true,false,false
1640966439000,false,true,false
1640966440000,false,true,true
1640966441000,true,true,false
1640966442000,true,false,true
1640966443000,true,false,true
1640966444000,false,true,true
1640966445000,true,true,false
1640966446000,false,true,true
1640966447000,false,false,true
1640966448000,true,true,false
1640966449000,true,true,true
1640966450000,true,true,true
1640966451000,false,true,false
1640966452000,true,false,false
1640966453000,true,false,false
1640966454000,true,true,false
1640966455000,true,true,false
1640966456000,false,false,false
1640966457000,false,true,true
1640966458000,true,true,false
1640966459000,false,false,false
1640966460000,true,true,true
1640966461000,true,true,true
1640966462000,true,false,true
1640966463000,true,true,true
1640966464000,false,false,true
1640966465000,false,false,false
1640966466000,true,true,false
1640966467000,true,false,true
1640966468000,true,true,false
1640966469000,false,false,false
1640966470000,false,true,true
1640966471000,false,true,false
1640966472000,false,true,false
1640966473000,true,true,false
1640966474000,true,false,true
1640966475000,false,false,false
1640966476000,false,false,true
1640966477000,false,true,false
1640966478000,true,true,false
1640966479000,true,true,false
1640966480000,false,true,false
1640966481000,true,true,false
1640966482000,false,false,false
1640966483000,true,false,true
1640966484000,false,true,true
1640966485000,true,false,false
1640966486000,true,false,true
1640966487000,false,true,true
1640966488000,true,true,false
1640966489000,false,true,true
1640966490000,true,true,true
1640966491000,false,true,true
1640966492000,true,false,true
1640966493000,false,true,false
1640966494000,true,false,true
1640966495000,true,false,false
1640966496000,true,false,true
1640966497000,true,true,true
1640966498000,true,true,true
1640966499000,true,true,false
