result,datatype,encoding,compressor,csv_file_name,start_time_in_ms,end_time_in_ms,import_elapsed_time_in_ms,query_elapsed_time_in_ms,data_size_in_byte,compression_rate,tsfile_count
result,BOOLEAN,PLAIN,UNCOMPRESSED,boolean-sg0-line3-100w0_0.csv,1689137542589.863,1689137674200.7825,15650.6,62198.72,3576127,8.79727,7
result,BOOLEAN,PLAIN,UNCOMPRESSED,boolean-sg0-line5-100w0_0.csv,1689137687294.3,1689137820911.4526,17599.41,62184.38,5958844,7.1239,7
result,BOOLEAN,PLAIN,SNAPPY,boolean-sg0-line3-100w0_0.csv,1689137834013.1482,1689137965652.1895,15502.47,62027.75,536102,58.68308,7
result,BOOLEAN,PLAIN,SNAPPY,boolean-sg0-line5-100w0_0.csv,1689137978762.6028,1689138112598.284,17448.9,62467.22,764842,55.50191,7
result,BOOLEAN,PLAIN,LZ4,boolean-sg0-line3-100w0_0.csv,1689138125695.755,1689138257206.3672,15641.46,62118.31,228968,137.39959,7
result,BOOLEAN,PLAIN,LZ4,boolean-sg0-line5-100w0_0.csv,1689138270324.7588,1689138405073.7278,18562.82,62329.08,397949,106.67241,7
result,BOOLEAN,PLAIN,GZIP,boolean-sg0-line3-100w0_0.csv,1689138418168.539,1689138549317.3943,15439.55,62007.39,170849,184.13987,7
result,BOOLEAN,PLAIN,GZIP,boolean-sg0-line5-100w0_0.csv,1689138562418.0413,1689138695862.9,17329.22,62027.35,283804,149.57571,7
result,BOOLEAN,PLAIN,ZSTD,boolean-sg0-line3-100w0_0.csv,1689138708958.533,1689138839963.4321,15183.34,62006.39,119918,262.34688,7
result,BOOLEAN,PLAIN,ZSTD,boolean-sg0-line5-100w0_0.csv,1689138853058.0034,1689138987190.4949,17662.64,62292.57,198979,213.34003,7
result,BOOLEAN,PLAIN,LZMA2,boolean-sg0-line3-100w0_0.csv,1689139000289.2788,1689139132898.1252,16296.12,62139.57,145037,216.91097,7
result,BOOLEAN,PLAIN,LZMA2,boolean-sg0-line5-100w0_0.csv,1689139146019.091,1689139282876.7595,19438.25,62660.53,240949,176.17915,7
result,BOOLEAN,RLE,UNCOMPRESSED,boolean-sg0-line3-100w0_0.csv,1689139295972.9187,1689139427768.8884,15792.15,62138.96,980323,32.0916,7
result,BOOLEAN,RLE,UNCOMPRESSED,boolean-sg0-line5-100w0_0.csv,1689139440878.8198,1689139574816.113,17337.71,62735.34,1621655,26.17709,7
result,BOOLEAN,RLE,SNAPPY,boolean-sg0-line3-100w0_0.csv,1689139587914.7937,1689139718682.195,15187.14,61439.71,228526,137.66536,7
